SECTION,PROC_CDE,DESCRIPTION,ADD_DATE,ACTION_DATE,TERM_DATE,ACTION_CODE
S,A4209,"Syringe with needle, sterile 5 cc or greater, each",19850101,20070101,,N
S,A4210,"Needle-free injection device, each",19890101,19960101,,N
S,A4211,Supplies for self-administered injections,19930101,19970101,,N
S,A4212,Non-coring needle or stylet with or without catheter,19930101,20000101,,N
S,A4213,"Syringe, sterile, 20 cc or greater, each",19850101,20070101,,N
S,A4215,"Needle, sterile, any size, each",19850101,20070101,,N
S,A4216,"Sterile water, saline and/or dextrose, diluent/flush, 10 ml",20040101,20070101,,N
S,A4217,"Sterile water/saline, 500 ml",20040101,20040101,,N
S,A4218,"Sterile saline or water, metered dose dispenser, 10 ml",20060101,20060101,,N
S,A4220,Refill kit for implantable infusion pump,19940101,19980303,,N
S,A4221,"Supplies for maintenance of non-insulin drug infusion catheter, per week (list drugs  separately)",19970101,20170101,,C
S,A4222,"Infusion supplies for external drug infusion pump, per cassette or bag (list drugs separately)",19970101,20050101,,N
S,A4223,"Infusion supplies not used with external infusion pump, per cassette or bag (list drugs separately)",20050101,20070101,,N
S,A4224,"Supplies for maintenance of insulin infusion catheter, per week",20170101,20170101,,A
S,A4225,"Supplies for external insulin infusion pump, syringe type cartridge, sterile, each",20170101,20170101,,A
S,A4230,"Infusion set for external insulin pump, non needle cannula type",19960101,20000101,,N
S,A4231,"Infusion set for external insulin pump, needle type",19960101,20000101,,N
S,A4232,"Syringe with needle for external insulin pump, sterile, 3 cc",19960101,20030401,,N
S,A4233,"Replacement battery, alkaline (other than j cell), for use with medically necessary home blood glucose monitor owned by patient, each",20060101,20160101,,N
S,A4234,"Replacement battery, alkaline, j cell, for use with medically necessary home blood glucose monitor owned by patient, each",20060101,20160101,,N
S,A4235,"Replacement battery, lithium, for use with medically necessary home blood glucose monitor owned by patient, each",20060101,20160101,,N
S,A4236,"Replacement battery, silver oxide, for use with medically necessary home blood glucose monitor owned by patient, each",20060101,20160101,,N
S,A4244,"Alcohol or peroxide, per pint",19850101,20070101,,N
S,A4245,"Alcohol wipes, per box",19850101,20070101,,N
S,A4246,"Betadine or phisohex solution, per pint",19850101,20070101,,N
S,A4247,"Betadine or iodine swabs/wipes, per box",19850101,20070101,,N
S,A4248,"Chlorhexidine containing antiseptic, 1 ml",20040101,20150101,,N
S,A4250,Urine test or reagent strips or tablets (100 tablets or strips),19900101,19970101,,N
S,A4252,"Blood ketone test or reagent strip, each",20080101,20080101,,N
S,A4253,"Blood glucose test or reagent strips for home blood glucose monitor, per 50 strips",19860101,19980701,,N
S,A4255,"Platforms for home blood glucose monitor, 50 per box",19970101,20020101,,N
S,A4256,"Normal, low and high calibrator solution / chips",19850101,20020101,,N
S,A4257,"Replacement lens shield cartridge for use with laser skin piercing device, each",20020101,20020101,,N
S,A4258,"Spring-powered device for lancet, each",19960101,20020101,,N
S,A4259,"Lancets, per box of 100",19850101,19960101,,N
S,A4261,Cervical cap for contraceptive use,19990101,19990101,,N
S,A4262,"Temporary, absorbable lacrimal duct implant, each",19940101,19980101,,N
S,A4263,"Permanent, long term, non-dissolvable lacrimal duct implant, each",19940101,19980101,,N
S,A4264,Permanent implantable contraceptive intratubal occlusion device(s) and delivery system,20100101,20100101,,N
S,A4265,"Paraffin, per pound",19860101,20020101,,N
S,A4266,Diaphragm for contraceptive use,20030101,20030101,,N
S,A4267,"Contraceptive supply, condom, male, each",20030101,20030101,,N
S,A4268,"Contraceptive supply, condom, female, each",20030101,20030101,,N
S,A4269,"Contraceptive supply, spermicide (e.g., foam, gel), each",20030101,20030101,,N
S,A4270,"Disposable endoscope sheath, each",19940101,19960101,,N
S,A4280,"Adhesive skin support attachment for use with external breast prosthesis, each",20000101,20000101,,N
S,A4281,"Tubing for breast pump, replacement",20030101,20070101,,N
S,A4282,"Adapter for breast pump, replacement",20030101,20070101,,N
S,A4283,"Cap for breast pump bottle, replacement",20030101,20070101,,N
S,A4284,"Breast shield and splash protector for use with breast pump, replacement",20030101,20070101,,N
S,A4285,"Polycarbonate bottle for use with breast pump, replacement",20030101,20070101,,N
S,A4286,"Locking ring for breast pump, replacement",20030101,20070101,,N
S,A4290,"Sacral nerve stimulation test lead, each",20010101,20020101,,N
S,A4300,"Implantable access catheter, (e.g., venous, arterial, epidural subarachnoid, or peritoneal, etc.) external access",19860101,20020101,,N
S,A4301,"Implantable access total catheter, port/reservoir (e.g., venous, arterial, epidural, subarachnoid, peritoneal, etc.)",19960101,20030101,,N
S,A4305,"Disposable drug delivery system, flow rate of 50 ml or greater per hour",19930101,20060101,,N
S,A4306,"Disposable drug delivery system, flow rate of less than 50 ml per hour",19930101,20070101,,N
S,A4310,Insertion tray without drainage bag and without catheter (accessories only),19900101,19900101,,N
S,A4311,"Insertion tray without drainage bag with indwelling catheter, foley type, two-way latex with coating (teflon, silicone, silicone elastomer or hydrophilic, etc.)",19900101,19900101,,N
S,A4312,"Insertion tray without drainage bag with indwelling catheter, foley type, two-way, all silicone",19900101,19900101,,N
S,A4313,"Insertion tray without drainage bag with indwelling catheter, foley type, three-way, for continuous irrigation",19900101,19900101,,N
S,A4314,"Insertion tray with drainage bag with indwelling catheter, foley type, two-way latex with coating (teflon, silicone, silicone elastomer or hydrophilic, etc.)",19900101,19900101,,N
S,A4315,"Insertion tray with drainage bag with indwelling catheter, foley type, two-way, all silicone",19900101,19900101,,N
S,A4316,"Insertion tray with drainage bag with indwelling catheter, foley type, three-way, for continuous irrigation",19900101,19900101,,N
S,A4320,"Irrigation tray with bulb or piston syringe, any purpose",19900101,19920101,,N
S,A4321,Therapeutic agent for urinary catheter irrigation,19970101,20030101,,N
S,A4322,"Irrigation syringe, bulb or piston, each",19900101,19960101,,N
S,A4326,"Male external catheter with integral collection chamber, any type, each",19900101,20070101,,N
S,A4327,"Female external urinary collection device; meatal cup, each",19900101,19900101,,N
S,A4328,"Female external urinary collection device; pouch, each",19900101,19900101,,N
S,A4330,"Perianal fecal collection pouch with adhesive, each",19900101,19960101,,N
S,A4331,"Extension drainage tubing, any type, any length, with connector/adaptor, for use with urinary leg bag or urostomy pouch, each",20010101,20030101,,N
S,A4332,"Lubricant, individual sterile packet, each",20010101,20050101,,N
S,A4333,"Urinary catheter anchoring device, adhesive skin attachment, each",20010101,20030101,,N
S,A4334,"Urinary catheter anchoring device, leg strap, each",20010101,20030101,,N
S,A4335,Incontinence supply; miscellaneous,19900101,19900101,,N
S,A4336,"Incontinence supply, urethral insert, any type, each",20100101,20100101,,N
S,A4337,"Incontinence supply, rectal insert, any type, each",20160101,20160101,,N
S,A4338,"Indwelling catheter; foley type, two-way latex with coating (teflon, silicone, silicone elastomer, or hydrophilic, etc.), each",19900101,19960101,,N
S,A4340,"Indwelling catheter; specialty type, (e.g., coude, mushroom, wing, etc.), each",19900101,19960101,,N
S,A4344,"Indwelling catheter, foley type, two-way, all silicone, each",19830101,19960101,,N
S,A4346,"Indwelling catheter; foley type, three way for continuous irrigation, each",19830101,19960101,,N
S,A4349,"Male external catheter, with or without adhesive, disposable, each",20050101,20050101,,N
S,A4351,"Intermittent urinary catheter; straight tip, with or without coating (teflon, silicone, silicone elastomer, or hydrophilic, etc.), each",19900101,20020101,,N
S,A4352,"Intermittent urinary catheter; coude (curved) tip, with or without coating (teflon, silicone, silicone elastomeric, or hydrophilic, etc.), each",19900101,20020101,,N
S,A4353,"Intermittent urinary catheter, with insertion supplies",19970101,20030101,,N
S,A4354,Insertion tray with drainage bag but without catheter,19860101,19900101,,N
S,A4355,"Irrigation tubing set for continuous bladder irrigation through a three-way indwelling foley catheter, each",19840101,19960101,,N
S,A4356,"External urethral clamp or compression device (not to be used for catheter clamp), each",19850101,19960101,,N
S,A4357,"Bedside drainage bag, day or night, with or without anti-reflux device, with or without tube, each",19850101,19960101,,N
S,A4358,"Urinary drainage bag, leg or abdomen, vinyl, with or without tube, with straps, each",19850101,20020101,,N
S,A4360,"Disposable external urethral clamp or compression device, with pad and/or pouch, each",20100101,20100101,,N
S,A4361,"Ostomy faceplate, each",19850101,19960101,,N
S,A4362,"Skin barrier; solid, 4 x 4 or equivalent; each",19850101,19900101,,N
S,A4363,"Ostomy clamp, any type, replacement only, each",20060101,20060101,,N
S,A4364,"Adhesive, liquid or equal, any type, per oz",19850101,20030101,,N
S,A4366,"Ostomy vent, any type, each",20040101,20040101,,N
S,A4367,"Ostomy belt, each",19850101,19960101,,N
S,A4368,"Ostomy filter, any type, each",19970101,19970101,,N
S,A4369,"Ostomy skin barrier, liquid (spray, brush, etc.), per oz",20000101,20030101,,N
S,A4371,"Ostomy skin barrier, powder, per oz",20000101,20030101,,N
S,A4372,"Ostomy skin barrier, solid 4 x 4 or equivalent, standard wear, with built-in convexity, each",20000101,20060101,,N
S,A4373,"Ostomy skin barrier, with flange (solid, flexible or accordion), with built-in convexity, any size, each",20000101,20030101,,N
S,A4375,"Ostomy pouch, drainable, with faceplate attached, plastic, each",20000101,20030101,,N
S,A4376,"Ostomy pouch, drainable, with faceplate attached, rubber, each",20000101,20030101,,N
S,A4377,"Ostomy pouch, drainable, for use on faceplate, plastic, each",20000101,20030101,,N
S,A4378,"Ostomy pouch, drainable, for use on faceplate, rubber, each",20000101,20030101,,N
S,A4379,"Ostomy pouch, urinary, with faceplate attached, plastic, each",20000101,20030101,,N
S,A4380,"Ostomy pouch, urinary, with faceplate attached, rubber, each",20000101,20030101,,N
S,A4381,"Ostomy pouch, urinary, for use on faceplate, plastic, each",20000101,20030101,,N
S,A4382,"Ostomy pouch, urinary, for use on faceplate, heavy plastic, each",20000101,20030101,,N
S,A4383,"Ostomy pouch, urinary, for use on faceplate, rubber, each",20000101,20030101,,N
S,A4384,"Ostomy faceplate equivalent, silicone ring, each",20000101,20030101,,N
S,A4385,"Ostomy skin barrier, solid 4 x 4 or equivalent, extended wear, without built-in convexity, each",20000101,20030101,,N
S,A4387,"Ostomy pouch, closed, with barrier attached, with built-in convexity (1 piece), each",20000101,20030101,,N
S,A4388,"Ostomy pouch, drainable, with extended wear barrier attached, (1 piece), each",20000101,20030101,,N
S,A4389,"Ostomy pouch, drainable, with barrier attached, with built-in convexity (1 piece), each",20000101,20030101,,N
S,A4390,"Ostomy pouch, drainable, with extended wear barrier attached, with built-in convexity (1 piece), each",20000101,20030101,,N
S,A4391,"Ostomy pouch, urinary, with extended wear barrier attached (1 piece), each",20000101,20030101,,N
S,A4392,"Ostomy pouch, urinary, with standard wear barrier attached, with built-in convexity (1 piece), each",20000101,20030101,,N
S,A4393,"Ostomy pouch, urinary, with extended wear barrier attached, with built-in convexity (1 piece), each",20000101,20030101,,N
S,A4394,"Ostomy deodorant, with or without lubricant, for use in ostomy pouch, per fluid ounce",20000101,20070101,,N
S,A4395,"Ostomy deodorant for use in ostomy pouch, solid, per tablet",20000101,20030101,,N
S,A4396,Ostomy belt with peristomal hernia support,20010101,20030101,,N
S,A4397,"Irrigation supply; sleeve, each",19900101,19960101,,N
S,A4398,"Ostomy irrigation supply; bag, each",19890101,19970101,,N
S,A4399,"Ostomy irrigation supply; cone/catheter, with or without brush",19890101,20110101,,N
S,A4400,Ostomy irrigation set,19820101,19900101,,N
S,A4402,"Lubricant, per ounce",19850101,19950101,,N
S,A4404,"Ostomy ring, each",19850101,19950101,,N
S,A4405,"Ostomy skin barrier, non-pectin based, paste, per ounce",20030101,20030101,,N
S,A4406,"Ostomy skin barrier, pectin-based, paste, per ounce",20030101,20030101,,N
S,A4407,"Ostomy skin barrier, with flange (solid, flexible, or accordion), extended wear, with built-in convexity, 4 x 4 inches or smaller, each",20030101,20030101,,N
S,A4408,"Ostomy skin barrier, with flange (solid, flexible or accordion), extended wear, with built-in convexity, larger than 4 x 4 inches, each",20030101,20030101,,N
S,A4409,"Ostomy skin barrier, with flange (solid, flexible or accordion), extended wear, without built-in convexity, 4 x 4 inches or smaller, each",20030101,20060101,,N
S,A4410,"Ostomy skin barrier, with flange (solid, flexible or accordion), extended wear, without built-in convexity, larger than 4 x 4 inches, each",20030101,20060101,,N
S,A4411,"Ostomy skin barrier, solid 4 x 4 or equivalent, extended wear, with built-in convexity, each",20060101,20060101,,N
S,A4412,"Ostomy pouch, drainable, high output, for use on a barrier with flange (2 piece system), without filter, each",20060101,20060101,,N
S,A4413,"Ostomy pouch, drainable, high output, for use on a barrier with flange (2 piece system), with filter, each",20030101,20030101,,N
S,A4414,"Ostomy skin barrier, with flange (solid, flexible or accordion), without built-in convexity, 4 x 4 inches or smaller, each",20030101,20060101,,N
S,A4415,"Ostomy skin barrier, with flange (solid, flexible or accordion), without built-in convexity, larger than 4 x 4 inches, each",20030101,20060101,,N
S,A4416,"Ostomy pouch, closed, with barrier attached, with filter (1 piece), each",20040101,20040101,,N
S,A4417,"Ostomy pouch, closed, with barrier attached, with built-in convexity, with filter (1 piece), each",20040101,20040101,,N
S,A4418,"Ostomy pouch, closed; without barrier attached, with filter (1 piece), each",20040101,20040101,,N
S,A4419,"Ostomy pouch, closed; for use on barrier with non-locking flange, with filter (2 piece), each",20040101,20040101,,N
S,A4420,"Ostomy pouch, closed; for use on barrier with locking flange (2 piece), each",20040101,20040101,,N
S,A4421,Ostomy supply; miscellaneous,19850101,20070101,,N
S,A4422,"Ostomy absorbent material (sheet/pad/crystal packet) for use in ostomy pouch to thicken liquid stomal output, each",20030101,20030101,,N
S,A4423,"Ostomy pouch, closed; for use on barrier with locking flange, with filter (2 piece), each",20040101,20040101,,N
S,A4424,"Ostomy pouch, drainable, with barrier attached, with filter (1 piece), each",20040101,20040101,,N
S,A4425,"Ostomy pouch, drainable; for use on barrier with non-locking flange, with filter (2 piece system), each",20040101,20040101,,N
S,A4426,"Ostomy pouch, drainable; for use on barrier with locking flange (2 piece system), each",20040101,20040101,,N
S,A4427,"Ostomy pouch, drainable; for use on barrier with locking flange, with filter (2 piece system), each",20040101,20040101,,N
S,A4428,"Ostomy pouch, urinary, with extended wear barrier attached, with faucet-type tap with valve (1 piece), each",20040101,20040101,,N
S,A4429,"Ostomy pouch, urinary, with barrier attached, with built-in convexity, with faucet-type tap with valve (1 piece), each",20040101,20040101,,N
S,A4430,"Ostomy pouch, urinary, with extended wear barrier attached, with built-in convexity, with faucet-type tap with valve (1 piece), each",20040101,20040101,,N
S,A4431,"Ostomy pouch, urinary; with barrier attached, with faucet-type tap with valve (1 piece), each",20040101,20040101,,N
S,A4432,"Ostomy pouch, urinary; for use on barrier with non-locking flange, with faucet-type tap with valve (2 piece), each",20040101,20040101,,N
S,A4433,"Ostomy pouch, urinary; for use on barrier with locking flange (2 piece), each",20040101,20040101,,N
S,A4434,"Ostomy pouch, urinary; for use on barrier with locking flange, with faucet-type tap with valve (2 piece), each",20040101,20040101,,N
S,A4435,"Ostomy pouch, drainable, high output, with extended wear barrier (one-piece system), with or without filter, each",20130101,20130101,,N
S,A4450,"Tape, non-waterproof, per 18 square inches",20030101,20030101,,N
S,A4452,"Tape, waterproof, per 18 square inches",20030101,20030101,,N
S,A4455,"Adhesive remover or solvent (for tape, cement or other adhesive), per ounce",19890101,19950101,,N
S,A4456,"Adhesive remover, wipes, any type, each",20100101,20100101,,N
S,A4458,"Enema bag with tubing, reusable",20030101,20070101,,N
S,A4459,"Manual pump-operated enema system, includes balloon, catheter and all accessories, reusable, any type",20150101,20150101,,N
S,A4461,"Surgical dressing holder, non-reusable, each",20070101,20070101,,N
S,A4463,"Surgical dressing holder, reusable, each",20070101,20070101,,N
S,A4465,Non-elastic binder for extremity,19940101,19950101,,N
S,A4466,"Garment, belt, sleeve or other covering, elastic or similar stretchable material, any type, each",20100101,20170101,20161231,D
S,A4467,"Belt, strap, sleeve, garment, or covering, any type",20170101,20170101,,A
S,A4470,Gravlee jet washer,19860101,20010101,,N
S,A4480,Vabra aspirator,19860101,20010101,,N
S,A4481,"Tracheostoma filter, any type, any size, each",19970101,20030101,,N
S,A4483,"Moisture exchanger, disposable, for use with invasive mechanical ventilation",19990101,20030101,,N
S,A4490,"Surgical stockings above knee length, each",19860101,20030101,,N
S,A4495,"Surgical stockings thigh length, each",19860101,20030101,,N
S,A4500,"Surgical stockings below knee length, each",19860101,20030101,,N
S,A4510,"Surgical stockings full length, each",19860101,20030101,,N
S,A4520,"Incontinence garment, any type, (e.g., brief, diaper), each",20050101,20050101,,N
S,A4550,Surgical trays,19820101,20000101,,N
S,A4553,"Non-disposable underpads, all sizes",20170101,20170101,,A
S,A4554,"Disposable underpads, all sizes",19860101,20050101,,N
S,A4555,"Electrode/transducer for use with electrical stimulation device used for cancer treatment, replacement only",20140101,20140101,,N
S,A4556,"Electrodes, (e.g., apnea monitor), per pair",19840101,20000101,,N
S,A4557,"Lead wires, (e.g., apnea monitor), per pair",19840101,20000101,,N
S,A4558,"Conductive gel or paste, for use with electrical device (e.g., tens, nmes), per oz",19850101,20070101,,N
S,A4559,"Coupling gel or paste, for use with ultrasound device, per oz",20070101,20070101,,N
S,A4561,"Pessary, rubber, any type",20010101,20010101,,N
S,A4562,"Pessary, non rubber, any type",20010101,20010101,,N
S,A4565,Slings,19830101,20141001,,N
S,A4566,"Shoulder sling or vest design, abduction restrainer, with or without swathe control, prefabricated, includes fitting and adjustment",20110101,20110101,,N
S,A4570,Splint,19820101,20010701,,N
S,A4575,"Topical hyperbaric oxygen chamber, disposable",19960101,19960101,,N
S,A4580,"Cast supplies (e.g., plaster)",19820101,19820101,,N
S,A4590,"Special casting material (e.g., fiberglass)",19840101,19840101,,N
S,A4595,"Electrical stimulator supplies, 2 lead, per month, (e.g., tens, nmes)",19960101,20030101,,N
S,A4600,"Sleeve for intermittent limb compression device, replacement only, each",20070101,20070101,,N
S,A4601,"Lithium ion battery, rechargeable, for non-prosthetic use, replacement",20070101,20150101,,N
S,A4602,"Replacement battery for external infusion pump owned by patient, lithium, 1.5 volt, each",20150101,20150101,,N
S,A4604,Tubing with integrated heating element for use with positive airway pressure device,20060101,20060101,,N
S,A4605,"Tracheal suction catheter, closed system, each",20050101,20050101,,N
S,A4606,"Oxygen probe for use with oximeter device, replacement",20030101,20030101,,N
S,A4608,"Transtracheal oxygen catheter, each",20010101,20140101,,N
S,A4611,"Battery, heavy duty; replacement for patient owned ventilator",19900101,20140101,,N
S,A4612,Battery cables; replacement for patient-owned ventilator,19900101,20140101,,N
S,A4613,Battery charger; replacement for patient-owned ventilator,19900101,20140101,,N
S,A4614,"Peak expiratory flow rate meter, hand held",19990101,19990101,,N
S,A4615,"Cannula, nasal",19900101,20090101,,N
S,A4616,"Tubing (oxygen), per foot",19900101,20090101,,N
S,A4617,Mouth piece,19900101,20090101,,N
S,A4618,Breathing circuits,19900101,19930101,,N
S,A4619,Face tent,19900101,20110701,,N
S,A4620,Variable concentration mask,19900101,20090101,,N
S,A4623,"Tracheostomy, inner cannula",19900101,20040101,,N
S,A4624,"Tracheal suction catheter, any type other than closed system, each",19900101,20030101,,N
S,A4625,Tracheostomy care kit for new tracheostomy,19900101,20030101,,N
S,A4626,"Tracheostomy cleaning brush, each",19900101,20030101,,N
S,A4627,"Spacer, bag or reservoir, with or without mask, for use with metered dose inhaler",19910101,19970101,,N
S,A4628,"Oropharyngeal suction catheter, each",19960101,19960101,,N
S,A4629,Tracheostomy care kit for established tracheostomy,19960101,20030101,,N
S,A4630,"Replacement batteries, medically necessary, transcutaneous electrical stimulator, owned by patient",19910101,20060101,,N
S,A4633,"Replacement bulb/lamp for ultraviolet light therapy system, each",20030101,20030101,,N
S,A4634,"Replacement bulb for therapeutic light box, tabletop model",20030101,20030101,,N
S,A4635,"Underarm pad, crutch, replacement, each",19910101,19910101,,N
S,A4636,"Replacement, handgrip, cane, crutch, or walker, each",19910101,19960101,,N
S,A4637,"Replacement, tip, cane, crutch, walker, each.",19910101,19960101,,N
S,A4638,"Replacement battery for patient-owned ear pulse generator, each",20040101,20040101,,N
S,A4639,"Replacement pad for infrared heating pad system, each",20030101,20140401,,N
S,A4640,Replacement pad for use with medically necessary alternating pressure pad owned by patient,19910101,19910101,,N
S,A4641,"Radiopharmaceutical, diagnostic, not otherwise classified",19940101,20060101,,N
S,A4642,"Indium in-111 satumomab pendetide, diagnostic, per study dose, up to 6 millicuries",19950101,20060101,,N
S,A4648,"Tissue marker, implantable, any type, each",20080101,20080101,,N
S,A4649,Surgical supply; miscellaneous,19820101,19980101,,N
S,A4650,"Implantable radiation dosimeter, each",20080101,20080101,,N
S,A4651,"Calibrated microcapillary tube, each",20020101,20150101,,N
S,A4652,Microcapillary tube sealant,20020101,20150101,,N
S,A4653,"Peritoneal dialysis catheter anchoring device, belt, each",20030101,20150101,,N
S,A4657,"Syringe, with or without needle, each",20020101,20150101,,N
S,A4660,Sphygmomanometer/blood pressure apparatus with cuff and stethoscope,19860101,20150101,,N
S,A4663,Blood pressure cuff only,19860101,20150101,,N
S,A4670,Automatic blood pressure monitor,19860101,20030101,,N
S,A4671,"Disposable cycler set used with cycler dialysis machine, each",20040101,20150101,,N
S,A4672,"Drainage extension line, sterile, for dialysis, each",20040101,20150101,,N
S,A4673,"Extension line with easy lock connectors, used with dialysis",20040101,20150101,,N
S,A4674,"Chemicals/antiseptics solution used to clean/sterilize dialysis equipment, per 8 oz",20040101,20150101,,N
S,A4680,"Activated carbon filter for hemodialysis, each",19860101,20150101,,N
S,A4690,"Dialyzer (artificial kidneys), all types, all sizes, for hemodialysis, each",19860101,20150101,,N
S,A4706,"Bicarbonate concentrate, solution, for hemodialysis, per gallon",20020101,20150101,,N
S,A4707,"Bicarbonate concentrate, powder, for hemodialysis, per packet",20020101,20150101,,N
S,A4708,"Acetate concentrate solution, for hemodialysis, per gallon",20020101,20150101,,N
S,A4709,"Acid concentrate, solution, for hemodialysis, per gallon",20020101,20150101,,N
S,A4714,"Treated water (deionized, distilled, or reverse osmosis) for peritoneal dialysis, per gallon",19860101,20150101,,N
S,A4719,"""y set"" tubing for peritoneal dialysis",20020101,20150101,,N
S,A4720,"Dialysate solution, any concentration of dextrose, fluid volume greater than 249 cc, but less than or equal to 999 cc, for peritoneal dialysis",20020101,20150101,,N
S,A4721,"Dialysate solution, any concentration of dextrose, fluid volume greater than 999 cc but less than or equal to 1999 cc, for peritoneal dialysis",20020101,20150101,,N
S,A4722,"Dialysate solution, any concentration of dextrose, fluid volume greater than 1999 cc but less than or equal to 2999 cc, for peritoneal dialysis",20020101,20150101,,N
S,A4723,"Dialysate solution, any concentration of dextrose, fluid volume greater than 2999 cc but less than or equal to 3999 cc, for peritoneal dialysis",20020101,20150101,,N
S,A4724,"Dialysate solution, any concentration of dextrose, fluid volume greater than 3999 cc but less than or equal to 4999 cc, for peritoneal dialysis",20020101,20150101,,N
S,A4725,"Dialysate solution, any concentration of dextrose, fluid volume greater than 4999 cc but less than or equal to 5999 cc, for peritoneal dialysis",20020101,20150101,,N
S,A4726,"Dialysate solution, any concentration of dextrose, fluid volume greater than 5999 cc, for peritoneal dialysis",20020101,20150101,,N
S,A4728,"Dialysate solution, non-dextrose containing, 500 ml",20040101,20150101,,N
S,A4730,"Fistula cannulation set for hemodialysis, each",19860101,20150101,,N
S,A4736,"Topical anesthetic, for dialysis, per gram",20020101,20150101,,N
S,A4737,"Injectable anesthetic, for dialysis, per 10 ml",20020101,20150101,,N
S,A4740,"Shunt accessory, for hemodialysis, any type, each",19860101,20150101,,N
S,A4750,"Blood tubing, arterial or venous, for hemodialysis, each",19860101,20150101,,N
S,A4755,"Blood tubing, arterial and venous combined, for hemodialysis, each",19860101,20150101,,N
S,A4760,"Dialysate solution test kit, for peritoneal dialysis, any type, each",19860101,20150101,,N
S,A4765,"Dialysate concentrate, powder, additive for peritoneal dialysis, per packet",19860101,20150101,,N
S,A4766,"Dialysate concentrate, solution, additive for peritoneal dialysis, per 10 ml",20020101,20150101,,N
S,A4770,"Blood collection tube, vacuum, for dialysis, per 50",19860101,20150101,,N
