"Feature","Description"
"TDI_DIAG_401","TDI claim for 'Essential hypertension'"
"TDI_DIAG_410","TDI claim for 'Acute myocardial infarction'"
"TDI_DIAG_414","TDI claim for 'Other forms of chronic ischemic heart disease'"
"TDI_DIAG_427","TDI claim for 'Cardiac dysrhythmias'"
"TDI_DIAG_428","TDI claim for 'Heart failure'"
"TDI_DIAG_436","TDI claim for 'Acute but ill-defined cerebrovascular disease'"
"TDI_DIAG_454","TDI claim for 'Varicose veins of lower extremities'"
"TDI_DIAG_455","TDI claim for 'Hemorrhoids'"
"TDI_DIAG_466","TDI claim for 'Acute bronchitis and bronchiolitis'"
"TDI_DIAG_473","TDI claim for 'Chronic sinusitis'"
"TDI_DIAG_474","TDI claim for 'Chronic disease of tonsils and adenoids'"
"TDI_DIAG_486","TDI claim for 'Pneumonia, organism unspecified'"
"TDI_DIAG_487","TDI claim for 'Influenza'"
"TDI_DIAG_490","TDI claim for 'Bronchitis, not specified as acute or chronic'"
"TDI_DIAG_493","TDI claim for 'Asthma'"
"TDI_DIAG_496","TDI claim for 'Chronic airways obstruction, not elsewhere classified'"
"TDI_DIAG_540","TDI claim for 'Acute appendicitis'"
"TDI_DIAG_541","TDI claim for 'Appendicitis, unqualified'"
"TDI_DIAG_550","TDI claim for 'Inguinal hernia'"
"TDI_DIAG_553","TDI claim for 'Other hernia of abdominal cavity without mention of obstruction or gangrene'"
"TDI_DIAG_555","TDI claim for 'Regional enteritis'"
"TDI_DIAG_558","TDI claim for 'Other noninfective gastroenteritis and colitis'"
"TDI_DIAG_562","TDI claim for 'Diverticula of intestine'"
"TDI_DIAG_574","TDI claim for 'Cholelithiasis'"
"TDI_DIAG_575","TDI claim for 'Other disorders of gallbladder'"
"TDI_DIAG_592","TDI claim for 'Calculus of kidney and ureter'"
"TDI_DIAG_611","TDI claim for 'Other disorders of breast'"
"TDI_DIAG_617","TDI claim for 'Endometriosis'"
"TDI_DIAG_618","TDI claim for 'Genital prolapse'"
"TDI_DIAG_620","TDI claim for 'Noninflammatory disorders of ovary, fallopian tube, and broad ligament'"
"TDI_DIAG_625","TDI claim for 'Pain and other symptoms associated with female genital organs'"
"TDI_DIAG_626","TDI claim for 'Disorders of menstruation and other abnormal bleeding from female genital tract'"
"TDI_DIAG_628","TDI claim for 'Infertility, female'"
"TDI_DIAG_633","TDI claim for 'Ectopic pregnancy'"
"TDI_DIAG_634","TDI claim for 'Spontaneous abortion'"
"TDI_DIAG_642","TDI claim for 'Hypertension complicating pregnancy, childbirth, and the puerperium'"
"TDI_DIAG_643","TDI claim for 'Excessive vomiting in pregnancy'"
"TDI_DIAG_644","TDI claim for 'Early or threatened labor'"
"TDI_DIAG_646","TDI claim for 'Other complications of pregnancy, not elsewhere classified'"
"TDI_DIAG_648","TDI claim for 'Other current conditions in the mother classifiable elsewhere but complicating pregnancy, childbirth, and the puerperium'"
"TDI_DIAG_650","TDI claim for 'Normal delivery'"
"TDI_DIAG_669","TDI claim for 'Other complications of labor and delivery, not elsewhere classified'"
"TDI_DIAG_682","TDI claim for 'Other cellulitis and abscess'"
"TDI_DIAG_714","TDI claim for 'Rheumatoid arthritis and other inflammatory polyarthropathies'"
"TDI_DIAG_715","TDI claim for 'Osteoarthrosis and allied disorders'"
"TDI_DIAG_716","TDI claim for 'Other and unspecified arthropathies'"
"TDI_DIAG_717","TDI claim for 'Internal derangement of knee'"
"TDI_DIAG_718","TDI claim for 'Other derangement of joint'"
"TDI_DIAG_719","TDI claim for 'Other and unspecified disorder of joint'"
"TDI_DIAG_721","TDI claim for 'Spondylosis and allied disorders'"
"TDI_DIAG_722","TDI claim for 'Intervertebral disc disorders'"
"TDI_DIAG_723","TDI claim for 'Other disorders of cervical region'"
"TDI_DIAG_724","TDI claim for 'Other and unspecified disorders of back'"
"TDI_DIAG_726","TDI claim for 'Peripheral enthesopathies and allied syndromes'"
"TDI_DIAG_727","TDI claim for 'Other disorders of synovium, tendon, and bursa'"
"TDI_DIAG_728","TDI claim for 'Disorders of muscle, ligament, and fascia'"
"TDI_DIAG_729","TDI claim for 'Other disorders of soft tissues'"
"TDI_DIAG_733","TDI claim for 'Other disorders of bone and cartilage'"
"TDI_DIAG_735","TDI claim for 'Acquired deformities of toe'"
"TDI_DIAG_739","TDI claim for 'Nonallopathic lesions, not elsewhere classified'"
"TDI_DIAG_780","TDI claim for 'General symptoms'"
"TDI_DIAG_782","TDI claim for 'Symptoms involving skin and other integumentary tissue'"
"TDI_DIAG_784","TDI claim for 'Symptoms involving head and neck'"
"TDI_DIAG_786","TDI claim for 'Symptoms involving respiratory system and other chest symptoms'"
"TDI_DIAG_789","TDI claim for 'Other symptoms involving abdomen and pelvis'"
"TDI_DIAG_805","TDI claim for 'Fracture of vertebral column without mention of spinal cord lesion'"
"TDI_DIAG_807","TDI claim for 'Fracture of rib(s), sternum, larynx, and trachea'"
"TDI_DIAG_813","TDI claim for 'Fracture of radius and ulna'"
"TDI_DIAG_815","TDI claim for 'Fracture of metacarpal bone(s)'"
"TDI_DIAG_816","TDI claim for 'Fracture of one or more phalanges of hand'"
"TDI_DIAG_823","TDI claim for 'Fracture of tibia and fibula'"
"TDI_DIAG_824","TDI claim for 'Fracture of ankle'"
"TDI_DIAG_825","TDI claim for 'Fracture of one or more tarsal and metatarsal bones'"
"TDI_DIAG_826","TDI claim for 'Fracture of one or more phalanges of foot'"
"TDI_DIAG_836","TDI claim for 'Dislocation of knee'"
"TDI_DIAG_840","TDI claim for 'Sprains and strains of shoulder and upper arm'"
"TDI_DIAG_842","TDI claim for 'Sprains and strains of wrist and hand'"
"TDI_DIAG_844","TDI claim for 'Sprains and strains of knee and leg'"
"TDI_DIAG_845","TDI claim for 'Sprains and strains of ankle and foot'"
"TDI_DIAG_846","TDI claim for 'Sprains and strains of sacroiliac region'"
"TDI_DIAG_847","TDI claim for 'Sprains and strains of other and unspecified parts of back'"
"TDI_DIAG_848","TDI claim for 'Other and ill-defined sprains and strains'"
"TDI_DIAG_924","TDI claim for 'Contusion of lower limb and of other and unspecified sites'"
"TDI_DIAG_959","TDI claim for 'Injury, other and unspecified'"
"TDI_DIAG_999","TDI claim for 'Complications of medical care, not elsewhere classified'"
"UI_EXHAUSTION","Exhausted UI benefits"
"NAICS_UNEMPLOYMENT","National annual unemployment rate for worker's industry"
"RI_UNEMPLOYMENT","Average Rhode Island unemployment rate"
"WAGES","Wages in previous quarter"
"WAGE_HOURS","Hours worked in previous quarter"
"EMPLOYERS","Number of employers in previous quarter"
"HAS_WAGES","Has Rhode Island wages in previous quarter"
"DOC_COMMITED","Committed to a corrections facility"
"DOC_RELEASED","Released from a corrections facility"
"DOC_CHARGED","Charged with a crime"
"DOC_SENTENCED_ASSAULT","Sentenced for assault"
"DOC_SENTENCED_DRUG_OFF","Sentenced for drug_off"
"DOC_SENTENCED_HOMICIDE","Sentenced for homicide"
"DOC_SENTENCED_PROP_OFF","Sentenced for prop_off"
"DOC_SENTENCED_PUB_OFF","Sentenced for pub_off"
"DOC_SENTENCED_ROBBERY","Sentenced for robbery"
"DOC_SENTENCED_SEX_OFF","Sentenced for sex_off"
"MEDICAID_INST_PAY","Average monthly medical payments to institutions"
"MEDICAID_PROF_PAY","Average monthly medical payments to professionals"
"MEDICAID_NURS_PAY","Average monthly medical payments to nursing homes"
"MEDICAID_INST_BILL","Average monthly medical bills from institutions"
"MEDICAID_PROF_BILL","Average monthly medical bills from professionals"
"MEDICAID_NURS_BILL","Average monthly medical bills from nursing homes"
"MEDICAID_INST_VISITS","Average monthly medical visits to institutions"
"MEDICAID_PROF_VISITS","Average monthly medical visits to professionals"
"MEDICAID_NURS_VISITS","Average monthly medical visits to nursing homes"
"MEDICAID_ED_PAY","Average monthly ED payments"
"MEDICAID_ED_PC_PAY","Average monthly PC-treatable ED payments"
"MEDICAID_ED_BILL","Average monthly ED bills"
"MEDICAID_ED_PC_BILL","Average monthly PC-treatable ED bills"
"MEDICAID_ED_VISITS","Average monthly ED visits"
"MEDICAID_ED_PC_VISITS","Average monthly PC-tretable ED visits"
"MEDICAID_RX_COST","Average monthly pharmcy costs"
"MEDICAID_RX_DRUGS","Average monthly number of prescription drugs"
"MEDICAID_DIAG_008","Diagnosis for 'Intestinal infections due to other organisms'"
"MEDICAID_DIAG_009","Diagnosis for 'Ill-defined intestinal infections'"
"MEDICAID_DIAG_034","Diagnosis for 'Streptococcal sore throat and scarlet fever'"
"MEDICAID_DIAG_041","Diagnosis for 'Bacterial infection in conditions classified elsewhere and of unspecified site'"
"MEDICAID_DIAG_070","Diagnosis for 'Viral hepatitis'"
"MEDICAID_DIAG_078","Diagnosis for 'Other diseases due to viruses and Chlamydiae'"
"MEDICAID_DIAG_079","Diagnosis for 'Viral infection in conditions classified elsewhere and of unspecified site'"
"MEDICAID_DIAG_110","Diagnosis for 'Dermatophytosis'"
"MEDICAID_DIAG_112","Diagnosis for 'Candidiasis'"
"MEDICAID_DIAG_211","Diagnosis for 'Benign neoplasm of other parts of digestive system'"
"MEDICAID_DIAG_216","Diagnosis for 'Benign neoplasm of skin'"
"MEDICAID_DIAG_244","Diagnosis for 'Acquired hypothyroidism'"
"MEDICAID_DIAG_250","Diagnosis for 'Diabetes mellitus'"
"MEDICAID_DIAG_272","Diagnosis for 'Disorders of lipoid metabolism'"
"MEDICAID_DIAG_276","Diagnosis for 'Disorders of fluid, electrolyte, and acid-base balance'"
"MEDICAID_DIAG_278","Diagnosis for 'Obesity and other hyperalimentation'"
"MEDICAID_DIAG_280","Diagnosis for 'Iron deficiency anemias'"
"MEDICAID_DIAG_285","Diagnosis for 'Other and unspecified anemias'"
"MEDICAID_DIAG_290","Diagnosis for 'Senile and presenile organic psychotic conditions'"
"MEDICAID_DIAG_293","Diagnosis for 'Transient organic psychotic conditions'"
"MEDICAID_DIAG_294","Diagnosis for 'Other organic psychotic conditions (chronic)'"
"MEDICAID_DIAG_295","Diagnosis for 'Schizophrenic psychoses'"
"MEDICAID_DIAG_296","Diagnosis for 'Affective psychoses'"
"MEDICAID_DIAG_298","Diagnosis for 'Other nonorganic psychoses'"
"MEDICAID_DIAG_300","Diagnosis for 'Neurotic disorders'"
"MEDICAID_DIAG_303","Diagnosis for 'Alcohol dependence syndrome'"
"MEDICAID_DIAG_304","Diagnosis for 'Drug dependence'"
"MEDICAID_DIAG_305","Diagnosis for 'Nondependent abuse of drugs'"
"MEDICAID_DIAG_307","Diagnosis for 'Special symptoms or syndromes, not elsewhere classified'"
"MEDICAID_DIAG_309","Diagnosis for 'Adjustment reaction'"
"MEDICAID_DIAG_311","Diagnosis for 'Depressive disorder, not elsewhere classified'"
"MEDICAID_DIAG_312","Diagnosis for 'Disturbance of conduct, not elsewhere classified'"
"MEDICAID_DIAG_313","Diagnosis for 'Disturbance of emotions specific to childhood and adolescence'"
"MEDICAID_DIAG_314","Diagnosis for 'Hyperkinetic syndrome of childhood'"
"MEDICAID_DIAG_315","Diagnosis for 'Specific delays in development'"
"MEDICAID_DIAG_319","Diagnosis for 'Unspecified intellectual disabilities'"
"MEDICAID_DIAG_327","Diagnosis for 'Organic sleep disorders'"
"MEDICAID_DIAG_331","Diagnosis for 'Other cerebral degenerations'"
"MEDICAID_DIAG_338","Diagnosis for 'Pain, not elsewhere classified'"
"MEDICAID_DIAG_345","Diagnosis for 'Epilepsy'"
"MEDICAID_DIAG_346","Diagnosis for 'Migraine'"
"MEDICAID_DIAG_354","Diagnosis for 'Mononeuritis of upper limb and mononeuritis multiplex'"
"MEDICAID_DIAG_362","Diagnosis for 'Other retinal disorders'"
"MEDICAID_DIAG_365","Diagnosis for 'Glaucoma'"
"MEDICAID_DIAG_366","Diagnosis for 'Cataract'"
"MEDICAID_DIAG_367","Diagnosis for 'Disorders of refraction and accommodation'"
"MEDICAID_DIAG_368","Diagnosis for 'Visual disturbances'"
"MEDICAID_DIAG_372","Diagnosis for 'Disorders of conjunctiva'"
"MEDICAID_DIAG_373","Diagnosis for 'Inflammation of eyelids'"
"MEDICAID_DIAG_375","Diagnosis for 'Disorders of lacrimal system'"
"MEDICAID_DIAG_379","Diagnosis for 'Other disorders of eye'"
"MEDICAID_DIAG_380","Diagnosis for 'Disorders of external ear'"
"MEDICAID_DIAG_381","Diagnosis for 'Nonsuppurative otitis media and Eustachian tube disorders'"
"MEDICAID_DIAG_382","Diagnosis for 'Suppurative and unspecified otitis media'"
"MEDICAID_DIAG_388","Diagnosis for 'Other disorders of ear'"
"MEDICAID_DIAG_389","Diagnosis for 'Hearing loss'"
"MEDICAID_DIAG_401","Diagnosis for 'Essential hypertension'"
"MEDICAID_DIAG_414","Diagnosis for 'Other forms of chronic ischemic heart disease'"
"MEDICAID_DIAG_424","Diagnosis for 'Other diseases of endocardium'"
"MEDICAID_DIAG_427","Diagnosis for 'Cardiac dysrhythmias'"
"MEDICAID_DIAG_428","Diagnosis for 'Heart failure'"
"MEDICAID_DIAG_429","Diagnosis for 'Ill-defined descriptions and complications of heart disease'"
"MEDICAID_DIAG_440","Diagnosis for 'Atherosclerosis'"
"MEDICAID_DIAG_443","Diagnosis for 'Other peripheral vascular disease'"
"MEDICAID_DIAG_455","Diagnosis for 'Hemorrhoids'"
"MEDICAID_DIAG_461","Diagnosis for 'Acute sinusitis'"
"MEDICAID_DIAG_462","Diagnosis for 'Acute pharyngitis'"
"MEDICAID_DIAG_463","Diagnosis for 'Acute tonsillitis'"
"MEDICAID_DIAG_464","Diagnosis for 'Acute laryngitis and tracheitis'"
"MEDICAID_DIAG_465","Diagnosis for 'Acute upper respiratory infections of multiple or unspecified sites'"
"MEDICAID_DIAG_466","Diagnosis for 'Acute bronchitis and bronchiolitis'"
"MEDICAID_DIAG_472","Diagnosis for 'Chronic pharyngitis and nasopharyngitis'"
"MEDICAID_DIAG_473","Diagnosis for 'Chronic sinusitis'"
"MEDICAID_DIAG_477","Diagnosis for 'Allergic rhinitis'"
"MEDICAID_DIAG_478","Diagnosis for 'Other diseases of upper respiratory tract'"
"MEDICAID_DIAG_486","Diagnosis for 'Pneumonia, organism unspecified'"
"MEDICAID_DIAG_487","Diagnosis for 'Influenza'"
"MEDICAID_DIAG_490","Diagnosis for 'Bronchitis, not specified as acute or chronic'"
"MEDICAID_DIAG_491","Diagnosis for 'Chronic bronchitis'"
"MEDICAID_DIAG_493","Diagnosis for 'Asthma'"
"MEDICAID_DIAG_496","Diagnosis for 'Chronic airways obstruction, not elsewhere classified'"
"MEDICAID_DIAG_518","Diagnosis for 'Other diseases of lung'"
"MEDICAID_DIAG_519","Diagnosis for 'Other diseases of respiratory system'"
"MEDICAID_DIAG_521","Diagnosis for 'Diseases of hard tissues of teeth'"
"MEDICAID_DIAG_525","Diagnosis for 'Other diseases and conditions of the teeth and supporting structures'"
"MEDICAID_DIAG_530","Diagnosis for 'Diseases of esophagus'"
"MEDICAID_DIAG_535","Diagnosis for 'Gastritis and duodenitis'"
"MEDICAID_DIAG_536","Diagnosis for 'Disorders of function of stomach'"
"MEDICAID_DIAG_553","Diagnosis for 'Other hernia of abdominal cavity without mention of obstruction or gangrene'"
"MEDICAID_DIAG_558","Diagnosis for 'Other noninfective gastroenteritis and colitis'"
"MEDICAID_DIAG_562","Diagnosis for 'Diverticula of intestine'"
"MEDICAID_DIAG_564","Diagnosis for 'Functional digestive disorders, not elsewhere classified'"
"MEDICAID_DIAG_569","Diagnosis for 'Other disorders of intestine'"
"MEDICAID_DIAG_571","Diagnosis for 'Chronic liver disease and cirrhosis'"
"MEDICAID_DIAG_578","Diagnosis for 'Gastrointestinal hemorrhage'"
"MEDICAID_DIAG_585","Diagnosis for 'Chronic renal failure'"
"MEDICAID_DIAG_593","Diagnosis for 'Other disorders of kidney and ureter'"
"MEDICAID_DIAG_599","Diagnosis for 'Other disorders of urethra and urinary tract'"
"MEDICAID_DIAG_611","Diagnosis for 'Other disorders of breast'"
"MEDICAID_DIAG_616","Diagnosis for 'Inflammatory disease of cervix, vagina, and vulva'"
"MEDICAID_DIAG_620","Diagnosis for 'Noninflammatory disorders of ovary, fallopian tube, and broad ligament'"
"MEDICAID_DIAG_623","Diagnosis for 'Noninflammatory disorders of vagina'"
"MEDICAID_DIAG_625","Diagnosis for 'Pain and other symptoms associated with female genital organs'"
"MEDICAID_DIAG_626","Diagnosis for 'Disorders of menstruation and other abnormal bleeding from female genital tract'"
"MEDICAID_DIAG_644","Diagnosis for 'Early or threatened labor'"
"MEDICAID_DIAG_646","Diagnosis for 'Other complications of pregnancy, not elsewhere classified'"
"MEDICAID_DIAG_648","Diagnosis for 'Other current conditions in the mother classifiable elsewhere but complicating pregnancy, childbirth, and the puerperium'"
"MEDICAID_DIAG_650","Diagnosis for 'Normal delivery'"
"MEDICAID_DIAG_655","Diagnosis for 'Known or suspected fetal abnormality affecting management of mother'"
"MEDICAID_DIAG_656","Diagnosis for 'Other fetal and placental problems affecting management of mother'"
"MEDICAID_DIAG_664","Diagnosis for 'Trauma to perineum and vulva during delivery'"
"MEDICAID_DIAG_681","Diagnosis for 'Cellulitis and abscess of finger and toe'"
"MEDICAID_DIAG_682","Diagnosis for 'Other cellulitis and abscess'"
"MEDICAID_DIAG_691","Diagnosis for 'Atopic dermatitis and related conditions'"
"MEDICAID_DIAG_692","Diagnosis for 'Contact dermatitis and other eczema'"
"MEDICAID_DIAG_701","Diagnosis for 'Other hypertrophic and atrophic conditions of skin'"
"MEDICAID_DIAG_703","Diagnosis for 'Diseases of nail'"
"MEDICAID_DIAG_704","Diagnosis for 'Diseases of hair and hair follicles'"
"MEDICAID_DIAG_706","Diagnosis for 'Diseases of sebaceous glands'"
"MEDICAID_DIAG_708","Diagnosis for 'Urticaria'"
"MEDICAID_DIAG_709","Diagnosis for 'Other disorders of skin and subcutaneous tissue'"
"MEDICAID_DIAG_715","Diagnosis for 'Osteoarthrosis and allied disorders'"
"MEDICAID_DIAG_716","Diagnosis for 'Other and unspecified arthropathies'"
"MEDICAID_DIAG_719","Diagnosis for 'Other and unspecified disorder of joint'"
"MEDICAID_DIAG_721","Diagnosis for 'Spondylosis and allied disorders'"
"MEDICAID_DIAG_722","Diagnosis for 'Intervertebral disc disorders'"
"MEDICAID_DIAG_723","Diagnosis for 'Other disorders of cervical region'"
"MEDICAID_DIAG_724","Diagnosis for 'Other and unspecified disorders of back'"
"MEDICAID_DIAG_726","Diagnosis for 'Peripheral enthesopathies and allied syndromes'"
"MEDICAID_DIAG_727","Diagnosis for 'Other disorders of synovium, tendon, and bursa'"
"MEDICAID_DIAG_728","Diagnosis for 'Disorders of muscle, ligament, and fascia'"
"MEDICAID_DIAG_729","Diagnosis for 'Other disorders of soft tissues'"
"MEDICAID_DIAG_733","Diagnosis for 'Other disorders of bone and cartilage'"
"MEDICAID_DIAG_760","Diagnosis for 'Fetus or newborn affected by maternal conditions which may be unrelated to present pregnancy'"
"MEDICAID_DIAG_780","Diagnosis for 'General symptoms'"
"MEDICAID_DIAG_781","Diagnosis for 'Symptoms involving nervous and musculoskeletal systems'"
"MEDICAID_DIAG_782","Diagnosis for 'Symptoms involving skin and other integumentary tissue'"
"MEDICAID_DIAG_783","Diagnosis for 'Symptoms concerning nutrition, metabolism, and development'"
"MEDICAID_DIAG_784","Diagnosis for 'Symptoms involving head and neck'"
"MEDICAID_DIAG_785","Diagnosis for 'Symptoms involving cardiovascular system'"
"MEDICAID_DIAG_786","Diagnosis for 'Symptoms involving respiratory system and other chest symptoms'"
"MEDICAID_DIAG_787","Diagnosis for 'Symptoms involving digestive system'"
"MEDICAID_DIAG_788","Diagnosis for 'Symptoms involving urinary system'"
"MEDICAID_DIAG_789","Diagnosis for 'Other symptoms involving abdomen and pelvis'"
"MEDICAID_DIAG_790","Diagnosis for 'Nonspecific findings on examination of blood'"
"MEDICAID_DIAG_793","Diagnosis for 'Nonspecific abnormal findings on radiological and other examination of body structure'"
"MEDICAID_DIAG_794","Diagnosis for 'Nonspecific abnormal results of function studies'"
"MEDICAID_DIAG_795","Diagnosis for 'Nonspecific abnormal histological and immunological findings'"
"MEDICAID_DIAG_796","Diagnosis for 'Other nonspecific abnormal findings'"
"MEDICAID_DIAG_799","Diagnosis for 'Other ill-defined and unknown causes of morbidity and mortality'"
"MEDICAID_DIAG_840","Diagnosis for 'Sprains and strains of shoulder and upper arm'"
"MEDICAID_DIAG_842","Diagnosis for 'Sprains and strains of wrist and hand'"
"MEDICAID_DIAG_844","Diagnosis for 'Sprains and strains of knee and leg'"
"MEDICAID_DIAG_845","Diagnosis for 'Sprains and strains of ankle and foot'"
"MEDICAID_DIAG_847","Diagnosis for 'Sprains and strains of other and unspecified parts of back'"
"MEDICAID_DIAG_873","Diagnosis for 'Other open wound of head'"
"MEDICAID_DIAG_920","Diagnosis for 'Contusion of face, scalp, and neck except eye(s)'"
"MEDICAID_DIAG_922","Diagnosis for 'Contusion of trunk'"
"MEDICAID_DIAG_923","Diagnosis for 'Contusion of upper limb'"
"MEDICAID_DIAG_924","Diagnosis for 'Contusion of lower limb and of other and unspecified sites'"
"MEDICAID_DIAG_959","Diagnosis for 'Injury, other and unspecified'"
"MEDICAID_DIAG_995","Diagnosis for 'Certain adverse effects, not elsewhere classified'"
"MEDICAID_DIAG_E849","Diagnosis for 'Place of occurrence'"
"MEDICAID_DIAG_E885","Diagnosis for 'Fall on same level from slipping, tripping, or stumbling'"
"MEDICAID_DIAG_E888","Diagnosis for 'Other and unspecified fall'"
"MEDICAID_DIAG_E917","Diagnosis for 'Striking against or struck accidentally by objects or persons'"
"MEDICAID_DIAG_E927","Diagnosis for 'Overexertion and strenuous movements'"
"MEDICAID_DIAG_E928","Diagnosis for 'Other and unspecified environmental and accidental causes'"
"MEDICAID_DIAG_V03","Diagnosis for 'Need for prophylactic vaccination and inoculation against bacterial diseases'"
"MEDICAID_DIAG_V04","Diagnosis for 'Need for prophylactic vaccination and inoculation against certain viral diseases'"
"MEDICAID_DIAG_V05","Diagnosis for 'Need for other prophylactic vaccination and inoculation against single diseases'"
"MEDICAID_DIAG_V06","Diagnosis for 'Need for prophylactic vaccination and inoculation against combinations of diseases'"
"MEDICAID_DIAG_V12","Diagnosis for 'Personal history of certain other diseases'"
"MEDICAID_DIAG_V15","Diagnosis for 'Other personal history presenting hazards to health'"
"MEDICAID_DIAG_V20","Diagnosis for 'Health supervision of infant or child'"
"MEDICAID_DIAG_V22","Diagnosis for 'Normal pregnancy'"
"MEDICAID_DIAG_V24","Diagnosis for 'Postpartum care and examination'"
"MEDICAID_DIAG_V25","Diagnosis for 'Encounter for contraceptive management'"
"MEDICAID_DIAG_V27","Diagnosis for 'Outcome of delivery'"
"MEDICAID_DIAG_V28","Diagnosis for 'Antenatal screening'"
"MEDICAID_DIAG_V30","Diagnosis for 'Single liveborn'"
"MEDICAID_DIAG_V40","Diagnosis for 'Mental and behavioral problems'"
"MEDICAID_DIAG_V45","Diagnosis for 'Other postsurgical states'"
"MEDICAID_DIAG_V53","Diagnosis for 'Fitting and adjustment of other device'"
"MEDICAID_DIAG_V57","Diagnosis for 'Care involving use of rehabilitation procedures'"
"MEDICAID_DIAG_V58","Diagnosis for 'Other and unspecified aftercare'"
"MEDICAID_DIAG_V60","Diagnosis for 'Housing, household, and economic circumstances'"
"MEDICAID_DIAG_V61","Diagnosis for 'Other family circumstances'"
"MEDICAID_DIAG_V62","Diagnosis for 'Other psychosocial circumstances'"
"MEDICAID_DIAG_V65","Diagnosis for 'Other persons seeking consultation without complaint or sickness'"
"MEDICAID_DIAG_V67","Diagnosis for 'Follow-up examination'"
"MEDICAID_DIAG_V70","Diagnosis for 'General medical examination'"
"MEDICAID_DIAG_V71","Diagnosis for 'Observation and evaluation for suspected conditions'"
"MEDICAID_DIAG_V72","Diagnosis for 'Special investigations and examinations'"
"MEDICAID_DIAG_V73","Diagnosis for 'Special screening examination for viral and chlamydial diseases'"
"MEDICAID_DIAG_V74","Diagnosis for 'Special screening examination for bacterial and spirochetal diseases'"
"MEDICAID_DIAG_V76","Diagnosis for 'Special screening for malignant neoplasms'"
"MEDICAID_DIAG_V82","Diagnosis for 'Special screening for other conditions'"
"SEX_M","Sex is male"
"LANG_SPANISH","Primary language is Spanish"
"LANG_PORTU","Primary language is Portuguese"
"LANG_OTHER","Primary language is not English, Spanish, or Portuguese"
"MEDICAID_N_IDS","Number of unique Medicaid IDs"
"MEDICAID_PREGNANT","Medicaid eligibility contains 'pregnant'"
"MEDICAID_POSTPARTUM","Medicaid eligibility contains 'postpartum'"
"MEDICAID_BLIND","Medicaid eligibility contains 'blind'"
"MEDICAID_DISABLED","Medicaid eligibility contains 'disabled'"
"MEDICAID_ALIEN","Medicaid eligibility contains 'alien'"
"MEDICAID_CHILD","Medicaid eligibility contains 'child'"
